"Banaras Construction Pty Ltd","","004544727","1/333 Drummond Street","Carlton","VIC","3053",""
"Barry-Brown Harrison Pty Ltd","","004762476","44 Highbury Road","Burwood","VIC","3125",""
"W E Bassett & Partners Pty Ltd","22004873634","004873634","Level 9,  8 Exhibition Street","Melbourne","VIC","3000","s.farthing@bassett.com.au"
"Blunts Homes Victoria Pty Ltd","","065798450","Lot 1 Kialla Lakes Drive","Kialla","VIC","3631",""
"Brennan & Foster Pty Ltd","40939810120","005669189","99 Wilson Street","Horsham","VIC","3400",""
"C D Mason Constructions Pty Ltd","","005019036","7 Gloucester Avenue","Berwick","VIC","3806",""
"Warren And Mahoney Architects Australia Pty Limited","15607221198","607221198","115/838 Collins Street","Docklands","VIC","3008","nick.deans@warrenandmahoney.com"
"C J & B T McLoughlan Pty Ltd","25007168372","007168372","32 Cohuna-Leitchville Rd","Cohuna","VIC","3568","hotmc@bigpond.com"
"C Warburton Pty Ltd","","000476497","Railway Street","Griffith","NSW","2680",""
"Cappellin & Co Pty Ltd","74005155715","005155715","15 Kirkdale Street","East Brunswick","VIC","3057",""
"Colin Belmore Builders Pty Ltd","","060133093","69 Panorama Avenue","Lower Plenty","VIC","3093",""
"Contract Control Constructions Pty Ltd","36860050567","006248611","71-89 Hobsons Road","Kensington","VIC","3031","simonlewin@contractcontrol.com.au"
"D & I M Scott Pty Ltd","59005777382","005777382","25 Gouorlay Street","Shepparton","VIC","3630",""
"Baigents Pty Ltd","","006982538","65 Kooyong Road","CAULFIELD NORTH","VIC","3161","ahbmel@baigent.com.au"
"Davis Naismith Pty Ltd","","067531097","43 Wantirna Road","Ringwood","VIC","3134","tony@dnmconsulting.com"
"A R Houghton & Associates Pty Ltd","","005311384","1157 Heatherton Road","Noble Park","VIC","3174",""
"Sashbury Pty Ltd","99745137360","050273115","106 Lower Plenty Road","Rosanna","VIC","3084","mail@arstellapartners.com"
"A S Fedorowicz","52085820806","","47 Princess Street","KEW","VIC","3101","fedora@ozemail.com.au"
"A S James Pty Ltd","40004584534","004684534","15 Libbett Avenue","Clayton South","VIC","3169","timh@asjames.com.au"
"A S Munn Consultants Vic Pty Ltd","23006737006","006737006","608 St. Kilda Road","Melbourne","VIC","3004","munncon@bigpond.net.au"
"Alison Nunn","14722012380","","Level 2,  46 Little Latrobe Street","Melbourne","VIC","3000","alison@an-architect.com.au"
"Audun Pedersen","51123409747","","55 Anzac Road","Trafalgar","VIC","3824","audun@sympac.com.au"
"Alexander Metherell Pty Ltd","","","55 Hardware Street","Melbourne","VIC","3000",""
"Allan Van Surveys","","","1st Floor 71 Palmerston Cres","South Melbourne","VIC","3205",""
"Andrew C Ward","","","12 Leonard Street","Burwood","VIC","3125",""
"Anthony Stokes & Associates","","","Suite 5, 532 Hampton Street","Hampton","VIC","3188",""
"Australian Government Analytical Laboratories Agal","","","51-65 Clarke Street","South Melbourne","VIC","3205",""
"Axilite Pty Ltd","","","2A Kintore Street","Camberwell","VIC","3124",""
"B J Marshall","","","131 Napier Street","Stawell","VIC","3380",""
"B W Esler & Associates Wodonga","","","83 Hume Highway","Wodonga","VIC","3690",""
"B Gladman","","","2/579 Toorak Road","Toorak","VIC","3142",""
"Ballantyne & Downie Pty Ltd","","","264 Springvale Road","Donvale","VIC","3111",""
"Barlow Associates","","","57 Berry Street","East Melbourne","VIC","3002",""
"Barrett Fuller & Partners","","","515 Bridge Road","Richmond","VIC","3122","bfpmelb @ interconnect.com.au"
"Bates Smart & McCutcheon Pty Ltd","","","1 Clarendon Street","East Melbourne","VIC","3002",""
"Best Overend & Associates","","","158 Moray Street","South Melbourne","VIC","3205",""
"Robert Pierce & Associates","","","5 Rucker Street","NORTHCOTE","VIC","3070","pierce@netspace.net.au"
"Gillon Consulting Group Pty Ltd","88074056161","074056161","Level 1, 38 Atherton Road","OAKLEIGH","VIC","3166","k.brewer@gillonconsulting.com.au"
"All General Surveying Pty Ltd","","006256702","47 North Valley Road","Highton","VIC","3216",""
"Allan Powell Pty Ltd","","006768225","19 Victoria Street","St Kilda","VIC","3182",""
"Lovell Chen Pty Ltd","20005803494","005803494","Level 5  176 Wellington Parade","EAST MELBOURNE","VIC","3002","tdulley@lovellchen.com.au"
"Amcosh Occupational Health Services","","1162163D","Cnr Sneydes Road & South Road","Werribee","VIC","3030","amcosh @ slim.agvic.gov.au"
"Anderson & Cassisi Pty Ltd","","006200595","140 Upper Heidelberg Road","Ivanhoe","VIC","3079",""
"Andrew O'Brien & Associates Pty Ltd","","007006037","3/59 Avenue Road","Camberwell","VIC","3124","aobtraf@iaccess.com.au"
"Cunningham & Keddie Pty Ltd","98006056159","006056159","3 Cardigan Place","ALBERT PARK","VIC","3206","cka@netspace.net.au"
"Anne Douglas Interior Design","40149689112","","30 Tyrone Street","SOUTH YARRA","VIC","3141","adid@optusnet.com.au"
"Anthony R Prowse & Associates Pty Ltd","","006931835","Suite 8  13-25 Church Street","HAWTHORN","VIC","3122","a_prowse@quail.net.au"
"Anthony Moodie & Associates Pty Ltd","","005749217","97 Greythorn Road","North Balwyn","VIC","3104","moodie@labyrinth.net.au"
"Arnold Prince & Associates Pty Ltd","","007025701","4 Burrindi Road","South Caulfield","VIC","3162","arnold@alphalink.com.au"
"Ashton Raggatt McDougall Pty Ltd","22476949399","004662962","Level 11 522 Flinders Lane","Melbourne","VIC","3000","arm.melb@armarchitecture.com.au"
"Austin Australia Pty Ltd","22000363020","000363020","Level 1 222 Kings Way","South Melbourne","VIC","3205","melbourne@austin.au.com"
"BBA Cost Planning & Financial Services","61349549330","100412324","Level 10  350 Queen Street","MELBOURNE","VIC","3000","peter.watt@burnsbridge.com.au"
"B M Culley & Associates Pty Ltd","40726754334","005250555","Level 2, 390 St Kilda Road","Melbourne","VIC","3004","mel@bmc.com.au"
"B S C Consulting Engineers Pty Ltd","","005016428","37 Macedon Road","Lower Templestowe","VIC","3107","bsca1@optusnet.com.au"
"B W Esler Services Pty Ltd Wangaratta","54651719938","001667205","31 Baker Street","Wangaratta","VIC","3677","jpm@eslers.com.au"
"B W Esler Services Pty Ltd Albury","","001667205","598 Macauley Street","Albury","NSW","2640","jpm@eslers.com.au"
"Brad Hooper Architect","47077185149","","161 Dow Street","Port Melbourne","VIC","3207","bvh1@bigpond.net.au"
"Q.S. Consultants Pty Ltd","49087063278","087063278","100 St James Road","Heidelberg","VIC","3084","qs@baglinpartners.com.au"
"Baldasso Cortese Pty Ltd","43006779728","006779728","Level 1/103 Oxford Street","Collingwood","VIC","3066","abaldasso@bcarch.net"
"BBD Consultants Pty Ltd","58438874566","005537940","Level 1, 104 Burwood Road","HAWTHORN","VIC","3122",""
"Belvoir Consulting","","057590164","2 Nilmar Avenue","Wodonga","VIC","3690","richard@belvoirconsulting.com.au"
"Beyer Wilson & Crisp Pty Ltd","64005544918","005544918","Suite 309, 685 Burke Road","CAMBERWELL","VIC","3124","hkbmelb@hkb.com.au"
"BRT Consulting Pty Ltd","22348245341","006041989","159 Victoria Parade","Collingwood","VIC","3066","alex@brt.com.au"
"Bill Gamble Consultants Pty LtdBairnsdale","","005231265","63A McLeod Street","Bairnsdale","VIC","3875","bill.gamble@gamcorp.com.au"
"Williams Ross Architects Pty Ltd","96005624868","005624868","Suite 1, 70 Kerr Street","Fitzroy","VIC","3065","email@williamsross.com"
"DS Architects Pty Ltd","59005204679","005204679","390 Burwood Road","Hawthorn","VIC","3122","pschreuder@dsarch.com.au"
"Bochsler & Partners Pty Ltd","","006420266","5 Edward Street","Toorak","VIC","3142","bochsler @ netspace.net.au"
"Bonacci Winward Melb Pty Ltd","","060332345","233 Punt Road","Richmond","VIC","3121","bonwinm @ ozemail.com.au"
"Breaden & Gullan Pty Ltd","45086884931","006165297","111 Mollison Street","Bendigo","VIC","3550","eplus@eplusarchitecture.com.au"
"Breese Pitt Dixon Pty Ltd","","005950103","1 Alfred Street","Hawthorn","VIC","3122","bpdpl@ozemail.com.au"
"Bruce Allen & John Courmadias Pty Ltd","96761148319","005681363","Level 8  34 Queens Road","Melbourne","VIC","3004","bruce.allen@stanhill.com.au"
"Bruce Henderson Architects Pty Ltd","86411417873","096188573","162 Toorak Road","South Yarra","VIC","3141","rbooth@bh-architects.com"
"Bruce Thomas & Associates","","006831456","15 Burwood Highway","Burwood","VIC","3125","info@thomasnicolas.com.au"
"D H Armstrong","","","60 Berry Avenue","Edithvale","VIC","3196",""
"D J Douglas & Partners Pty Ltd","","","31 Cremorne Street","Richmond","VIC","3121",""
"D M Sellars","","","4 Naroon Road","Alphington","VIC","3078",""
"D Bennett & Associates","","","54 Elizabeth Street","Richmond","VIC","3121",""
"Bowen Group Pty Ltd","","","11 Ramage Street","BAYSWATER","VIC","3153","paul@bowengroup.com.au"
"Elite Lift Services pty Ltd","","","4 / 88 Ireland Street","WEST MELBOURNE","VIC","3003","ben@elitelift.com.au"
"Newtown Builders Pty Ltd","","","4 Brice Avenue","Newtown geelong","VIC","3220","info@newtownbuilders.com.au"
"Broard Construction Services [Qld] Pty Ltd","38089532061","89532061","11 Newton Street","RICHMOND","VIC","3121","marcus.worn@broadapm.com.au"
"Montercarlo Drive Pty Ltd","","","26 Jamieson Street","WARRNAMBOOL","VIC","3280","ibolden@bigpond.net.au"
"Eastick Homes Pty Ltd","24158013426","158013426","165 Moore Street","ARARAT","VIC","3377","axehomes@bigpond.net.au"
"Architecture & Access [Aust] Pty Ltd","45159663582","159663582","Level 5, 369 Royal Parade","PARKVILLE","","3052","asanderson@architectureandaccess.com.au"
"Peter Clements Architects Pty Ltd","","","13  Joybells Crescent","TARNEIT","VIC","3030","peterclementsarchitect@gmail.com"
"Buchan Laird & Bawden Vic Pty Ltd","17007272826","007272826","Level 1, 696 Bourke Street","West Melbourne","VIC","3003","tbg@melbourne.buchan.com.au"
"D M Landy & Associates Pty Ltd","","005264880","696 Glenhuntly Road","Caulfield South","VIC","3162","dmlandy@mira.net"
"David Demsky Architect Pty Ltd","17077791470","077791470","Suite 2, 385 Malvern Road","South Yarra","VIC","3141","demskyarchitect@optusnet.com.au"
"D Dyson-Holland & Associates Pty Ltd","91143432274","005767091","8/340 Gore Street","FITZROY","VIC","3065","david@ddh.com.au"
"Dominic Kiernan & Associates Pty Ltd","33006920985","006920985","103 Windsor Crescent","Mont Albert","VIC","3127","domarc1@optusnet.com.au"
"Cundall Johnston & Partners Pty Ltd","16104924370","104924370","Level 2, 330 Little Collins Street","Melbourne","VIC","3000","c.mccabe@cundall.com.au"
"AMCD Pty Ltd","58918283483","126247667","33 Nish Street","Echuca","VIC","3564","alastair@ecotecturedesign.com.au"
"Law Architects Pty Ltd","87541659619","128424494","The Old Dairy  2 / 45 Watkins Street","FITZROY NORTH","VIC","3068","admin@lawarchitects.com.au"
"WBCM Pty Ltd","90277388450","076354197","Level 4, 210 Kings Way","South Melbourne","VIC","3205","oliver@wbcm.com.au"
"CFP Pty Ltd","62142632933","142632933","Factory 8, 31 Hosie St","Bayswater","VIC","3153","mthomas@groupcfp.com.au"
"Singh Consulting Pty Ltd","47142213269","142213269","Level 27, 101 Collins Street","Melbourne","VIC","3000","narinder@singhconsulting.com.au"
"Maxcon Constructions Pty Ltd","69152259820","152259820","1/164 Flinders lane","Melbourne","VIC","3000","celzain@maxcon.net.au"
"A1 Partitions Vic Pty Ltd","46058770840","076497419","1374 North Road","Huntingdale","VIC","3166","jared@a1office.com.au"
"Fraser Paxton Architects Pty Ltd","94141375573","141375573","1/190 Bourke Street","Melbourne","VIC","3000","fp@fraserpaxton.com.au"
"Shee Oak Ridge Pty Ltd","50100419707","100419707","63 Grant St","Bacchus Marsh","VIC","3340","sheeoak@gmail.com"
"TekNova Consult Pty Ltd","28006762581","006762581","22 Prestige dr","Melbourne","VIC","3169","luba@teknovaconsult.com.au"
"Kleinfelder Australia Pty Ltd","23146082500","146082500","L1  95 Coventry Street","South Melbourne","VIC","3205","geggleston@kleinfelder.com"
"Staff Building & Contracting Pty Ltd","34005526910","005526910","Factory 1, 4 Lyall St","Hastings","VIC","3915","staffbuildingco@gmail.com"
"Ross & Cric Henry Pty Ltd","33006996774","006996774","165 Yarra Street","Warrandyte","VIC","3113","office@henryarchitects.com.au"
"Resonate Consultants Pty Ltd","86152097955","152097955","Level 4, 10 Yarra Street","South Yarra","VIC","3141","matthew.stead@resonateacoustics.com"
"Ekberg Architecture Pty Ltd","47066210991","066210991","2 O'Connor Street","Black Rock","VIC","3193","richardekberg@optusnet.com.au"
"HBS Group Pty Ltd","58117976164","117976164","17 Abbott Street","Alphington","VIC","3078","lucy.latina@hbsgroup.com.au"
"HBO EMTB Architecture Pty Limited","42163598543","163598543","Level 8, 460 Collins Street","MELBOURNE","VIC","3000","tberardi@hboemtb.com"
"Tempo Via Pty Ltd","62084726929","084726929","12 Browning Drive","Templestowe","VIC","3106","smarasea@tre-vi.com.au"
"Fyfe Pty Ltd","57008116130","008116130","G109/202 Jells Road","Wheelers Hill","VIC","3150","glenn.thiele@fyfe.com.au"
"G.A Awad & S.Samuel","2071543948","","9 Sunshine Close","Greensborough","VIC","3088","sherif@archisolutions.com.au"
"Select Investments Vic Pty Ltd","93596377820","057810349","Level 1, 1 Queens Road","Melbourne","VIC","3004","frank@dimension6.com.au"
"Associated Builders Pty Ltd","22091644085","091644085","78 Nissan Drive","Dandenong South","VIC","3175","alex@associatedbuilders.com.au"
"Ballarat Construction Management Pty Ltd","43094417079","117326244","900 Humffray Street","MOUNT PLEASANT","VIC","3350","david@ballaratcm.com.au"
"Supertech Project Management Australia Pty Ltd","33006539411","006539411","Unit 22,  20  Commerical Road","MELBOURNE","VIC","3004","rhorat@suptec.com.au"
"Construct4 Building Group Pty Ltd","59005688719","005688719","1 Keith Street","HAMPTON EAST","VIC","3188","andrew@construct4.com.au"
"Devcon Properties Pty Ltd","94094909583","094909583","166 Russells rd","Bannockburn","VIC","3331","michael@devconproperties.com.au"
"TANDEM Design Studio Pty Ltd","25115144100","115144100","L2, 322 Little Lonsdale Street","Melbourne","VIC","3000","james@tandem-studio.net"
"Wilzen Holdings Pty Ltd","81141588593","107787146","23 Seven Creeks Drive","Kialla","VIC","3631","chris@barzenbuilders.com.au"
"Precom Pty Ltd","45115360524","115360524","33-35 Garden St","Kilsyth","VIC","3137","rob@prebuilt.com.au"
"Unispace Global Pty Ltd","69145608537","145608537","93-95 Palmerston Crescent","South Melbourne","VIC","3205","jaime.salisbury@unispace.com"
"CQL Building Group Pty Ltd","","","Level 1, 172 Flinders Street","MELBOURNE","VIC","3000","a.shisman@cqlbuild.com.au"
"Country Fire Authority","39255319010","","Units 2 & 3, 59 King Street","Bendigo","VIC","3550","n.knight@cfa.vic.gov.au"
"Stuart McLean Builders  Pty Ltd","76105112516","105112516","3 Ross Street","NORTHCOTE","VIC","3070","stuart.mclean@enviroline.com.au"
"Vic Permits Pty Ltd","","","","","","","michael@vicpermits.com.au"
"Building Management Consulting Pty Ltd","","","5 Stanfield Court","Glen Waverley","VIC","3150",""
"Building Surveying Services Pty Ltd","","","59 Fletcher Street","Essendon","VIC","3040",""
"C H Butt","","","6/11 Woorigoleen Road","Toorak","VIC","3142",""
"C J Arms & Associates","","","1 Price Street","Oakleigh South","VIC","3167","armpower@ozonline.com.au"
"C K Interiors","","","424 Burke Road","Camberwell","VIC","3124",""
"CR & LE Priestley","","","7 Stewart Street","MARLO","VIC","3888","lukep@bigpond.net.au"
"Paramount Projects Pty Ltd","","","Unit 4 / 46 Gilbert Park Drive","KNOXFIELD","VIC","3180","trevor@p-projects.com.au"
"Davidov Partners Pty Ltd","","152414698","71 Balmain Street","Richmond","VIC","3121","robert@davidov.com.au"
"Gladona Building Services Pty Ltd","90470352304","470352304","21 Scarborough Road","Vermont South","VIC","3133","gladona@bigpond.com"
"Thomas McKenzie","15272462578","","1/155 Gertrude Street","Fitzroy","VIC","3065","thom@thomaswinwood.com.au"
"Brunswick Group Pty Ltd","34132755241","132755241","9 Queen St","MELBOURNE","VIC","3000","paul@brunswickgroup.com.au"
"Biruu Pty Ltd","91145663716","145663716","Level 14, 15 Collins Street","MELBOURNE","VIC","3000","d.grounds@biruu.com"
"Burns Bridge Australia Pty Ltd","12182761211","006547306","Level 10, 350 Queens Street","MELBOURNE","VIC","3000","renee.wood@sweettgroup.com"
"Burton & Carter Pty Ltd","56005903275","005903275","514 City Road","South Melbourne","VIC","3205","burtoncarter@bigpond.com"
"C R Knight & Associates Australia Pty Ltd","","005443041","17 Raglan Street","South Melbourne","VIC","3205","crk@crk.com.au"
"Geoffs Test Contractor","05123456789","123456789","Level 5  1 Macarthur Street","MELBOURNE","VIC","3000","geoff.dickson@dtf.vic.gov.au"
"DS Building Solutions Pty Ltd","90128754594","128754594","163 Murray Road","Gisborne","VIC","3437","daniel@dsbuildingsolutions.com.au"
"Johnstaff Projects Vic Pty Ltd","79137728977","137728977","Level 8, 21 Victoria Street","MELBOURNE","VIC","3000","jpl@johnstaff.com.au"
"Motion Elevators Australia Pty Ltd","56165127864","165127864","407 Clarendon Street","SOUTH MELBOURNE","VIC","3205","tony@motionelevators.com.au"
"Just Solutions Property Group Pty Ltd","73535932803","154851484","Suite 3 / 100 Cochrane Road","MOORABBIN","VIC","3189","info@jspg.com.au"
"Jakob Andrew Kelly","44127384014","","77 Thompson Street","Hamilton","VIC","3300","jake@jkarchitect.com.au"
"Metaxas Architects Pty Ltd","18079178626","","152 Queensberry Street","Carlton","VIC","3053","georgem@metaxasarch.com"
"Kinban Building Consultants Pty Ltd","25386240840","162896442","410 Burke Road","Camberwell","VIC","3124","matt@kinban.com.au"
"Benjamin Willick","22430108476","","1/30 Nolan","Mansfield","VIC","3722","ben@willickdesign.com"
"T3 Architecture Pty Ltd","88605413902","605413902","21 Dove Street","West Footscray","VIC","3012","mena@t3archi.com.au"
"Otway Securities Pty Ltd","57064686913","121259685","609 Otway St South","Ballarat","VIC","3350","justin@mkmcon.com.au"
"GJM Heritage - Purcell Asia Pacific Ltd","62348237636","348237636","61 Little Collins Street","Melbourne","VIC","3000","tracey.skovronek@purcelluk.com"
"Conrad Gargett Pty Ltd","49325121350","010350633","Level 27, 400 George Street","BRISBANE","QLD","4001","rmoore@conradgargett.com.au"
"Lexicon  Co Pty Ltd","43817626167","127948501","20 John Street","COLLINGWOOD","VIC","3066","paul@lexiconco.com.au"
"Icon Co Vic Pty Ltd","54604790132","604790132","Suite 3, 110 Cubitt Street","Cremorne","VIC","3121","msisson@iconco.com.au"
"Nikau Pty Ltd","98607487758","607487758","192 Dohertys Rd","Laverton North","VIC","3026","peter.coffey@nikaugroup.com"
"Independent Demolition Pty Ltd","54601198645","601198645","7-8 Kearsley Court","Altona North","VIC","3025","admin@independentdemolition.com.au"
"N & I Contractors","90580730205","","35 Montbrae Circuit","NARRE WARREN","VIC","3805","adriana@iurescu.com"
"Arcadis Australia Pacific Pty Limited","76104485289","104485289","Level 32, 140 William Street","Melbourne","VIC","3000","ausproposal.coordinators@arcadis.com"
"GR Design and Construct Pty Ltd","52132285511","132285511","112 Salmon St","Port Melbourne","VIC","3207","recprodvic@grdesignandconstruct.com.au"
"Warren Smith & Partners Pty Limited","36300430126","002197088","Level 1, 123 Clarence Street","Sydney","NSW","2000","david@warrensmith.com.au"
"Blueprint Engineering & Developments Pty Ltd","38608493018","608493018","520 City Rd","South Melbourne","VIC","3205","fgute@bece.com.au"
"4Front Construction Pty Ltd","29162734134","162734134","65 Scott Parade","Ballarat","VIC","3350","mat@4frontconstruction.com.au"
"Central Vic Fitouts Pty Ltd","65600429178","600429178","119 wills st","bendigo","VIC","3550","michael.cason@totalfitouts.com.au"
"Vert Engineering Pty Ltd","18154820390","154820390","Level 1, 58 Camberwell Road","Hawthorn East","VIC","3123","l.patone@vertengineering.com"
"MCKENZIE GROUP CONSULTING VIC PTY. LTD.","49093211977","093211977","Level 2  99 William Street","Melbourne","VIC","3000","kireland@mckenzie-group.com.au"
"Peter Argyriou","74048797905","","15 Kiama Court","Oakleigh East","VIC","3166","peter.arg@optusnet.com.au"
"Southern Cross Building Group Pty  Ltd","89502300292","099053326","50 Nathan Road","Dandenong South","VIC","3175","jeff@safetysteel.com.au"
"C Sanderson","","","5 Trees 3 Chain Road","Rutherglen","VIC","3685",""
"Cargill Design Consultants Pty Ltd","","","19 Gareth Avenue","Beaumaris","VIC","3193",""
"Carol Frank-Mas & Associates","","","526 Hawthorn Road","Caulfield South","VIC","3162",""
"Charles Duncan Pty Ltd","","","8 Heather Street","South Melbourne","VIC","3205",""
"C Ng","","","","","","",""
"Chris Davis Architects","","","537 Saunders Avenue","Wodonga","VIC","3690",""
"Chris O'Brien & Company Pty Ltd","","","1st Floor 76 Hotham Street","Traralgon","VIC","3844",""
"Christopher C Morris & Associates","","","48 Queen Street","Warragul","VIC","3820",""
"Civsec Pty Ltd","","","55 Shoobra Road","Elsternwick","VIC","3185",""
"Clive Fredman & John Malina","","","Suite 3, 115 Hawthorn Road","Caulfield","VIC","3161","f&m@fredmal.com.au"
"Clive Steele Partners Pty Ltd","","","740 Glenferrie Road","Hawthorn","VIC","3122","ikf@clivesteele.com.au"
"Coffey Partners International Pty Ltd","","3692019","16 Church Street","Hawthorn","VIC","3122","pstyles @ ozemail.com.au"
"Cohen Chalmers Pty Ltd","","","174 Albert Street","Windsor","VIC","3181",""
"Colin Mitchell Pty Ltd","","5729993","6 Eugenia St","RYE","VIC","3941",""
"Collings & McDonald Pty Ltd","","","7 Heather Court","Ringwood North","VIC","3134",""
"Cost Control Pty Ltd Traralgon","","","Riggbeck, Frazers Lane","Glengarry North","VIC","3854",""
"Crooks Michell Peacock Stewart Pty Ltd Bendigo","","","107 Baxter Street","Bendigo","VIC","3550",""
"Crooks Michell Peacock Stewart Pty Ltd Mildura","","","140 Madden Avenue","Mildura","VIC","3500",""
"Crooks Michell Peacock Stewart Pty Ltd","","","685 Burke Road","Camberwell","VIC","3124",""
"D & B Habicht","","","5/73 Clendon Road","Toorak","VIC","3142",""
"D G Hill & Harvey Pty Ltd","","","100 Albert Road","South Melbourne","VIC","3205",""
"Inland Consultants Pty Ltd","68007106541","007106541","50-54 Madden Avenue","Mildura","VIC","3502","larry@inland.com.au"
"C W Fallaw & Associates Pty Ltd","","006628413","232 Latrobe Terrace","Geelong West","VIC","3218","cwfallaw@gmail.com"
"Carr McLean & Watson Pty Ltd","96081785524","081785524","Suite 3/532 Hampton Street","Hampton","VIC","3188","carrwat@vicnet.net.au"
"Carr McNamara & Muir Pty Ltd","","005951173","108 Wyndham Street","Shepparton","VIC","3630","cmm@cnl.com.au"
"Case Consulting Engineers","30128275610","005786792","4 Ross Street","KEW","VIC","3101","peter@caseconsulting.com.au"
"CK Designworks Pty Ltd","37058301232","058301232","Level 1,  424 Burke Road","Camberwell","VIC","3124","info@ckdesignworks.com"
"Cecil R & Graham F Lyons Pty Ltd","26005098448","005098448","351 Moray Street","South Melbourne","VIC","3205",""
"Chambers Consulting Engineers Pty Ltd","","006728123","36 Carpenter Street","Bendigo","VIC","3550",""
"Chancellor Patrick & Associates Pty Ltd","51006435865","006435865","PO Box 369","YARRA JUNCTION","VIC","3797","nikweb@bigpond.net.au"
"Chris How & Associates Pty Ltd","","005460926","116 Timor Street","Warrnambool","VIC","3280",""
"Clarke Hopkins and Clarke Architects","18146947762","","115 Sackville Street","COLLINGWOOD","VIC","3066","wayne.stephens@chc.com.au"
"Clements Consulting Group Pty Ltd","","007159079","Suite 2, 71 Oxford Street","Collingwood","VIC","3066","clemo@ozemail.com.au"
"Neil Clerehan Architects Pty Ltd","41004777388","004777388","1 Maddock Street","Windsor","VIC","3181","arkoz@smartchat.net.au"
"Lend Lease Building Pty Ltd","97000098162","000098162","Level 2 The Gauge, 825 Bourke Street","Docklands","VIC","3008","roger.teale@lendlease.com.au"
"Clive Singleton & Associates Pty Ltd Ormond","71088433087","005435138","596 North Road","Ormond","VIC","3204","mark.stansfield@spiire.com.au"
"Clive Singleton & Associates Pty Ltd Bendigo","","005435138","61 Bull Street","Bendigo","VIC","3550","single@netcon.net.au"
"Cocks Carmichael Pty Ltd","96873011523","006279894","200 Gladstone Street","South Melbourne","VIC","3205","robin@cockscarmichael.com.au"
"Colin Edwards Designs Pty Ltd","30074315343","074315343","49 Teck Street","Ashwood","VIC","3147","colinedwardsdesigns@bigpond.com"
"Collier & Reid Pty Ltd","34006965108","006965108","74 The Avenue","Ocean Grove","VIC","3226","admin@collierandreid.com.au"
"Conarg Australia Pty Ltd","11006483870","006483870","39 Harts Parade","Hawthorn East","VIC","3123","conarg@bigpond.net.au"
"Woodhead Firth Lee Pty Ltd","","007747745","1st Floor 187 Grattan Street","Carlton","VIC","3053",""
